id,comments,shares,posted_by,music_author,music_title,likes
7474161243511622934,4,173,University Student,ClaireSkellyy,original sound,467
7473604135904873750,0,154,University Student,…,lmk ꨄ,456
7473598346331016470,0,15,University Student,𝑺𝒍𝒐𝒘𝒆𝒅 𝑺𝒐𝒏𝒈𝒔,Beanie,118
7473597571055799574,0,16,University Student,‍,exit music,75
7473444877808897302,1,30,University Student,YZYLVR530,Never See Me Again,185
7473023411221056790,0,72,University Student,Fox,som original,303
7472391874666433814,559,101800,University Student,SPAM LIKE = BLOCK,original sound,294900
7472137911329230102,6,2366,University Student,🥞,prayer kendrick,6514
7471557742302366998,67,18200,University Student,💬,me and the birds slowed,37800
7493767524312567048,41,1020,theunitycouncil,theunitycouncil,original sound - theunitycouncil,3694
